"telepules","tipus","kisterseg","megye","regio","egyhazi_iskola"
"Bag","nem_hatranyos _besorolasu","Aszódi","Pest","Közép-magyarország",0
"Bagamér","LHH","Derecske-Létavérte","Hajdú-Bihar","Észak-Alföld",0
"Baglad","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Bagod","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Baj","nem_hatranyos _besorolasu","Tatai","Komárom-Esztergom","Közép-Dunántúl",0
"Baja","nem_hatranyos _besorolasu","Bajai","Bács-Kiskun","Dél-Alföld",0
"Bajna","nem_hatranyos _besorolasu","Dorogi","Komárom-Esztergom","Közép-Dunántúl",0
"Bajánsenye","HH","Őriszentpéteri","Vas","Nyugat-Dunántúl",0
"Bajót","nem_hatranyos _besorolasu","Esztergomi","Komárom-Esztergom","Közép-Dunántúl",0
"Bak","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Bakháza","HH","Nagyatádi","Somogy","Dél-Dunántúl",0
"Bakonszeg","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",0
"Bakonya","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Bakonybánk","HH","Kisbéri","Komárom-Esztergom","Közép-Dunántúl",0
"Bakonybél","nem_hatranyos _besorolasu","Zirci","Veszprém","Közép-Dunántúl",0
"Bakonycsernye","nem_hatranyos _besorolasu","Móri","Fejér","Közép-Dunántúl",1
"Bakonygyirót","nem_hatranyos _besorolasu","Pannonhalmai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Bakonyjákó","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Bakonykoppány","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Bakonykúti","nem_hatranyos _besorolasu","Székesfehérvári","Fejér","Közép-Dunántúl",0
"Bakonynána","nem_hatranyos _besorolasu","Zirci","Veszprém","Közép-Dunántúl",0
"Bakonyoszlop","nem_hatranyos _besorolasu","Zirci","Veszprém","Közép-Dunántúl",0
"Bakonypéterd","nem_hatranyos _besorolasu","Pannonhalmai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Bakonypölöske","nem_hatranyos _besorolasu","Ajkai","Veszprém","Közép-Dunántúl",0
"Bakonyszentiván","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Bakonyszentkirály","nem_hatranyos _besorolasu","Zirci","Veszprém","Közép-Dunántúl",0
"Bakonyszentlászló","nem_hatranyos _besorolasu","Pannonhalmai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Bakonyszombathely","HH","Kisbéri","Komárom-Esztergom","Közép-Dunántúl",0
"Bakonyszücs","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Bakonyság","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Bakonysárkány","HH","Kisbéri","Komárom-Esztergom","Közép-Dunántúl",0
"Bakonytamási","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Baks","LHHK","Kisteleki","Csongrád","Dél-Alföld",0
"Baksa","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Baktakék","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Baktalórántháza","LHHK","Baktalórántházai","Szabolcs-Szatmár-Bereg","Észak-Alföld",1
"Baktüttös","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Bakóca","LHHK","Sásdi","Baranya","Dél-Dunántúl",0
"Balajt","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Balassagyarmat","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"Balaton","HH","Bélapátfalvai","Heves","Észak-Magyarország",0
"Balatonakali","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",0
"Balatonalmádi","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",0
"Balatonberény","HH","Marcali","Somogy","Dél-Dunántúl",0
"Balatonboglár","nem_hatranyos _besorolasu","Fonyódi","Somogy","Dél-Dunántúl",1
"Balatoncsicsó","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",0
"Balatonederics","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Balatonendréd","nem_hatranyos _besorolasu","Siófoki","Somogy","Dél-Dunántúl",0
"Balatonfenyves","nem_hatranyos _besorolasu","Fonyódi","Somogy","Dél-Dunántúl",0
"Balatonföldvár","nem_hatranyos _besorolasu","Balatonföldvári","Somogy","Dél-Dunántúl",0
"Balatonfüred","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",1
"Balatonfőkajár","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",0
"Balatonfűzfő","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",0
"Balatongyörök","nem_hatranyos _besorolasu","Keszthelyi","Zala","Nyugat-Dunántúl",0
"Balatonhenye","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Balatonkenese","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",0
"Balatonkeresztúr","HH","Marcali","Somogy","Dél-Dunántúl",0
"Balatonlelle","nem_hatranyos _besorolasu","Fonyódi","Somogy","Dél-Dunántúl",0
"Balatonmagyaród","HH","Zalakarosi","Zala","Nyugat-Dunántúl",0
"Balatonmáriafürdő","HH","Marcali","Somogy","Dél-Dunántúl",0
"Balatonrendes","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Balatonszabadi","nem_hatranyos _besorolasu","Siófoki","Somogy","Dél-Dunántúl",0
"Balatonszemes","nem_hatranyos _besorolasu","Balatonföldvári","Somogy","Dél-Dunántúl",0
"Balatonszentgyörgy","HH","Marcali","Somogy","Dél-Dunántúl",0
"Balatonszepezd","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",0
"Balatonszárszó","nem_hatranyos _besorolasu","Balatonföldvári","Somogy","Dél-Dunántúl",0
"Balatonszőlős","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",0
"Balatonudvari","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",0
"Balatonvilágos","nem_hatranyos _besorolasu","Siófoki","Somogy","Dél-Dunántúl",0
"Balatonújlak","HH","Marcali","Somogy","Dél-Dunántúl",0
"Balatonőszöd","nem_hatranyos _besorolasu","Balatonföldvári","Somogy","Dél-Dunántúl",0
"Balinka","nem_hatranyos _besorolasu","Móri","Fejér","Közép-Dunántúl",0
"Balkány","HH","Nagykállói","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Ballószög","nem_hatranyos _besorolasu","Kecskeméti","Bács-Kiskun","Dél-Alföld",0
"Balmazújváros","LHH","Balmazújvárosi","Hajdú-Bihar","Észak-Alföld",1
"Balogunyom","nem_hatranyos _besorolasu","Szombathelyi","Vas","Nyugat-Dunántúl",0
"Balotaszállás","HH","Kiskunhalasi","Bács-Kiskun","Dél-Alföld",0
"Balsa","LHH","Ibrány-Nagyhalászi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Balástya","LHHK","Kisteleki","Csongrád","Dél-Alföld",0
"Bana","nem_hatranyos _besorolasu","Komáromi","Komárom-Esztergom","Közép-Dunántúl",0
"Barabás","LHHK","Vásárosnaményi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Baracs","nem_hatranyos _besorolasu","Dunaújvárosi","Fejér","Közép-Dunántúl",0
"Baracska","nem_hatranyos _besorolasu","Ercsi","Fejér","Közép-Dunántúl",0
"Baranyahidvég","nem_hatranyos _besorolasu","Sellyei","Baranya","Dél-Dunántúl",0
"Baranyajenő","LHHK","Sásdi","Baranya","Dél-Dunántúl",0
"Baranyaszentgyörgy","LHHK","Sásdi","Baranya","Dél-Dunántúl",0
"Barbacs","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Barcs","LHHK","Barcsi","Somogy","Dél-Dunántúl",0
"Barlahida","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Barnag","nem_hatranyos _besorolasu","Veszprémi","Veszprém","Közép-Dunántúl",0
"Basal","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Baskó","LHHK","Abaúj-Hegyközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Battonya","LHHK","Mezőkovácsházai","Békés","Dél-Alföld",0
"Batyk","HH","Zalaszentgróti","Zala","Nyugat-Dunántúl",0
"Baté","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Bazsi","HH","Sümegi","Veszprém","Közép-Dunántúl",0
"Becsehely","HH","Letenyei","Zala","Nyugat-Dunántúl",0
"Becske","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"Becskeháza","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Becsvölgye","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Bedegkér","LHH","Tabi","Somogy","Dél-Dunántúl",0
"Bedő","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",0
"Bejcgyertyános","nem_hatranyos _besorolasu","Sárvári","Vas","Nyugat-Dunántúl",0
"Bekecs","LHHK","Szerencsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Bekölce","HH","Bélapátfalvai","Heves","Észak-Magyarország",0
"Belecska","LHHK","Tamási","Tolna","Dél-Dunántúl",0
"Beled","nem_hatranyos _besorolasu","Kapuvár-Beledi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Beleg","HH","Nagyatádi","Somogy","Dél-Dunántúl",0
"Belezna","nem_hatranyos _besorolasu","Nagykanizsai","Zala","Nyugat-Dunántúl",0
"Beloiannisz","nem_hatranyos _besorolasu","Adonyi","Fejér","Közép-Dunántúl",0
"Belsősárd","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Belvárdgyula","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Benk","HH","Záhonyi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Bercel","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"Beregdaróc","LHHK","Vásárosnaményi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Beregsurány","LHHK","Vásárosnaményi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Berekböszörmény","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",0
"Berekfürdő","HH","Karcagi","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Beremend","HH","Siklósi","Baranya","Dél-Dunántúl",0
"Berente","HH","Kazincbarcikai","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Beret","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Berettyóújfalu","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",0
"Berhida","nem_hatranyos _besorolasu","Várpalotai","Veszprém","Közép-Dunántúl",0
"Berkenye","nem_hatranyos _besorolasu","Rétsági","Nógrád","Észak-Magyarország",0
"Berkesd","HH","Pécsváradi","Baranya","Dél-Dunántúl",0
"Berkesz","LHHK","Baktalórántházai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Bernecebaráti","nem_hatranyos _besorolasu","Szobi","Pest","Közép-magyarország",0
"Berzence","LHHK","Csurgói","Somogy","Dél-Dunántúl",0
"Berzék","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Besence","LHHK","Sellyei","Baranya","Dél-Dunántúl",0
"Besenyszög","nem_hatranyos _besorolasu","Szolnoki","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Besenyőd","LHHK","Baktalórántházai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Besenyőtelek","HH","Füzesabonyi","Heves","Észak-Magyarország",0
"Besnyő","nem_hatranyos _besorolasu","Adonyi","Fejér","Közép-Dunántúl",0
"Beszterec","LHH","Ibrány-Nagyhalászi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Bezedek","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Bezenye","nem_hatranyos _besorolasu","Mosonmagyaróvári","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Bezeréd","HH","Pacsai","Zala","Nyugat-Dunántúl",0
"Bezi","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Biatorbágy","nem_hatranyos _besorolasu","Budaörsi","Pest","Közép-magyarország",1
"Bicske","nem_hatranyos _besorolasu","Bicskei","Fejér","Közép-Dunántúl",0
"Bicsérd","HH","Szentlőrinci","Baranya","Dél-Dunántúl",0
"Bihardancsháza","LHH","Püspökladányi","Hajdú-Bihar","Észak-Alföld",0
"Biharkeresztes","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",1
"Biharnagybajom","LHH","Püspökladányi","Hajdú-Bihar","Észak-Alföld",0
"Bihartorda","LHH","Püspökladányi","Hajdú-Bihar","Észak-Alföld",0
"Biharugra","LHHK","Sarkadi","Békés","Dél-Alföld",0
"Bikal","LHHK","Sásdi","Baranya","Dél-Dunántúl",0
"Bikács","nem_hatranyos _besorolasu","Paksi","Tolna","Dél-Dunántúl",0
"Biri","HH","Nagykállói","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Birján","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Bisse","HH","Siklósi","Baranya","Dél-Dunántúl",0
"Boba","nem_hatranyos _besorolasu","Celldömölki","Vas","Nyugat-Dunántúl",0
"Bocfölde","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Boconád","LHHK","Hevesi","Heves","Észak-Magyarország",0
"Bocska","nem_hatranyos _besorolasu","Nagykanizsai","Zala","Nyugat-Dunántúl",0
"Bocskaikert","LHH","Hajdúhadházi","Hajdú-Bihar","Észak-Alföld",0
"Boda","HH","Szentlőrinci","Baranya","Dél-Dunántúl",0
"Bodajk","nem_hatranyos _besorolasu","Móri","Fejér","Közép-Dunántúl",0
"Bodmér","nem_hatranyos _besorolasu","Bicskei","Fejér","Közép-Dunántúl",0
"Bodolyabér","HH","Komlói","Baranya","Dél-Dunántúl",0
"Bodonhely","nem_hatranyos _besorolasu","Téti","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Bodony","LHH","Pétervásárai","Heves","Észak-Magyarország",0
"Bodorfa","HH","Sümegi","Veszprém","Közép-Dunántúl",0
"Bodrog","HH","Kaposvári","Somogy","Dél-Dunántúl",1
"Bodroghalom","LHHK","Bodrogközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Bodrogkeresztúr","LHHK","Tokaji","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Bodrogkisfalud","LHHK","Tokaji","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Bodrogolaszi","LHHK","Sárospataki","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Bogdása","LHHK","Sellyei","Baranya","Dél-Dunántúl",0
"Bogyiszló","nem_hatranyos _besorolasu","Szekszárdi","Tolna","Dél-Dunántúl",0
"Bogyoszló","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Bogács","HH","Mezőkövesdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Bogád","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Bogádmindszent","LHHK","Sellyei","Baranya","Dél-Dunántúl",0
"Bojt","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",0
"Bokod","nem_hatranyos _besorolasu","Oroszlányi","Komárom-Esztergom","Közép-Dunántúl",0
"Bokor","HH","Pásztói","Nógrád","Észak-Magyarország",0
"Boldog","nem_hatranyos _besorolasu","Hatvani","Heves","Észak-Magyarország",0
"Boldogasszonyfa","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Boldogkőváralja","LHHK","Abaúj-Hegyközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Boldogkőújfalu","LHHK","Abaúj-Hegyközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Boldva","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Bolhás","HH","Nagyatádi","Somogy","Dél-Dunántúl",0
"Bolhó","LHHK","Barcsi","Somogy","Dél-Dunántúl",0
"Boncodfölde","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Bonnya","LHH","Tabi","Somogy","Dél-Dunántúl",0
"Bonyhád","nem_hatranyos _besorolasu","Bonyhádi","Tolna","Dél-Dunántúl",0
"Bonyhádvarasd","nem_hatranyos _besorolasu","Bonyhádi","Tolna","Dél-Dunántúl",0
"Bordány","LHH","Mórahalomi","Csongrád","Dél-Alföld",0
"Borgáta","nem_hatranyos _besorolasu","Celldömölki","Vas","Nyugat-Dunántúl",0
"Borjád","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Borota","LHHK","Jánoshalmai","Bács-Kiskun","Dél-Alföld",0
"Borsfa","HH","Letenyei","Zala","Nyugat-Dunántúl",0
"Borsodbóta","LHHK","Ózdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Borsodgeszt","HH","Mezőkövesdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Borsodivánka","HH","Mezőkövesdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Borsodnádasd","LHHK","Ózdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Borsodszentgyörgy","LHHK","Ózdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Borsodszirák","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Borsosberény","nem_hatranyos _besorolasu","Rétsági","Nógrád","Észak-Magyarország",0
"Borszörcsök","nem_hatranyos _besorolasu","Devecseri","Veszprém","Közép-Dunántúl",0
"Borzavár","nem_hatranyos _besorolasu","Zirci","Veszprém","Közép-Dunántúl",0
"Bosta","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Botpalád","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Botykapeterd","nem_hatranyos _besorolasu","Szigetvári","Baranya","Dél-Dunántúl",0
"Bozsok","nem_hatranyos _besorolasu","Kőszegi","Vas","Nyugat-Dunántúl",0
"Bozzai","nem_hatranyos _besorolasu","Szombathelyi","Vas","Nyugat-Dunántúl",0
"Bucsa","LHH","Szeghalomi","Békés","Dél-Alföld",0
